municip_code_ibge,year,lon,lat,population,urban10,water_network,total_collected,level18_num,dengue_year,DIR,outbreak
3304524,2016,-41.9467782673802,-22.4543053073548,136626,94.54,59.82,99.39,2,430,314.727797051806,1
3304524,2017,-41.9467782673802,-22.4543053073548,141117,94.54,59.82,99.39,2,80,56.6905475598263,0
3304524,2018,-41.9467782673802,-22.4543053073548,145989,94.54,59.82,99.39,2,119,81.5129907047791,0
3304524,2019,-41.9467782673802,-22.4543053073548,150674,94.54,59.82,99.39,2,236,156.629544579689,0
3304524,2020,-41.9467782673802,-22.4543053073548,155193,94.54,59.82,99.39,2,65,41.8833323667949,0
3304557,2001,-43.4502571441865,-22.9232803120045,5897485,100,98.32,99.16,1,26897,456.075767890889,1
3304557,2002,-43.4502571441865,-22.9232803120045,5937253,100,98.32,99.16,1,147272,2480.47371402229,1
3304557,2003,-43.4502571441865,-22.9232803120045,5974081,100,98.32,99.16,1,1676,28.0545242021325,0
3304557,2004,-43.4502571441865,-22.9232803120045,6051399,100,98.32,99.16,1,552,9.12185760681125,0
3304557,2005,-43.4502571441865,-22.9232803120045,6094183,100,98.32,99.16,1,810,13.2913632557473,0
3304557,2006,-43.4502571441865,-22.9232803120045,6136652,100,98.32,99.16,1,14303,233.07497312867,0
3304557,2007,-43.4502571441865,-22.9232803120045,6093472,100,98.32,99.16,1,24385,400.182359088546,1
3304557,2008,-43.4502571441865,-22.9232803120045,6161047,100,98.32,99.16,1,107589,1746.277864785,1
3304557,2009,-43.4502571441865,-22.9232803120045,6186710,100,98.32,99.16,1,2999,48.4748759841661,0
3304557,2010,-43.4502571441865,-22.9232803120045,6323037,100,98.32,99.16,1,2651,41.9260554698636,0
3304557,2011,-43.4502571441865,-22.9232803120045,6355949,100,98.32,99.16,1,75640,1190.06618838509,1
3304557,2012,-43.4502571441865,-22.9232803120045,6390290,100,98.32,99.16,1,134030,2097.40090042862,1
3304557,2013,-43.4502571441865,-22.9232803120045,6429923,100,98.32,99.16,1,65789,1023.16932877734,1
3304557,2014,-43.4502571441865,-22.9232803120045,6453682,100,98.32,99.16,1,2789,43.2156403119955,0
3304557,2015,-43.4502571441865,-22.9232803120045,6476631,100,98.32,99.16,1,18015,278.153873518501,0
3304557,2016,-43.4502571441865,-22.9232803120045,6498837,100,98.32,99.16,1,26107,401.718030472221,1
3304557,2017,-43.4502571441865,-22.9232803120045,6520266,100,98.32,99.16,1,3627,55.6265649284861,0
3304557,2018,-43.4502571441865,-22.9232803120045,6688927,100,98.32,99.16,1,5508,82.3450457749053,0
3304557,2019,-43.4502571441865,-22.9232803120045,6718903,100,98.32,99.16,1,17997,267.856225934502,0
3304557,2020,-43.4502571441865,-22.9232803120045,6747815,100,98.32,99.16,1,1255,18.598613032515,0
3304607,2001,-41.9130669701925,-21.9697945527793,10273,57.55,47.8,83.97,5,4,38.9370193711671,0
3304607,2002,-41.9130669701925,-21.9697945527793,10397,57.55,47.8,83.97,5,15,144.272386265269,0
3304607,2003,-41.9130669701925,-21.9697945527793,10361,57.55,47.8,83.97,5,3,28.9547340990252,0
3304607,2004,-41.9130669701925,-21.9697945527793,10284,57.55,47.8,83.97,5,1,9.72384286269934,0
3304607,2005,-41.9130669701925,-21.9697945527793,10242,57.55,47.8,83.97,5,1,9.76371802382347,0
3304607,2006,-41.9130669701925,-21.9697945527793,10200,57.55,47.8,83.97,5,1,9.80392156862745,0
3304607,2007,-41.9130669701925,-21.9697945527793,10409,57.55,47.8,83.97,5,2,19.2141416082237,0
3304607,2008,-41.9130669701925,-21.9697945527793,10756,57.55,47.8,83.97,5,9,83.674228337672,0
3304607,2009,-41.9130669701925,-21.9697945527793,10775,57.55,47.8,83.97,5,0,0,0
3304607,2010,-41.9130669701925,-21.9697945527793,10321,57.55,47.8,83.97,5,0,0,0
3304607,2011,-41.9130669701925,-21.9697945527793,10310,57.55,47.8,83.97,5,3,29.09796314258,0
3304607,2012,-41.9130669701925,-21.9697945527793,10298,57.55,47.8,83.97,5,0,0,0
3304607,2013,-41.9130669701925,-21.9697945527793,10282,57.55,47.8,83.97,5,6,58.3544057576347,0
3304607,2014,-41.9130669701925,-21.9697945527793,10253,57.55,47.8,83.97,5,0,0,0
3304607,2015,-41.9130669701925,-21.9697945527793,10225,57.55,47.8,83.97,5,3,29.3398533007335,0
3304607,2016,-41.9130669701925,-21.9697945527793,10198,57.55,47.8,83.97,5,93,911.943518336929,1
3304607,2017,-41.9130669701925,-21.9697945527793,10172,57.55,47.8,83.97,5,2,19.6618167518679,0
3304607,2018,-41.9130669701925,-21.9697945527793,10417,57.55,47.8,83.97,5,1,9.59969280983008,0
3304607,2019,-41.9130669701925,-21.9697945527793,10404,57.55,47.8,83.97,5,2,19.2233756247597,0
3304607,2020,-41.9130669701925,-21.9697945527793,10392,57.55,47.8,83.97,5,0,0,0
3304706,2001,-42.1927594109186,-21.5559952297092,39357,76.58,81,88.29,3,246,625.047640826283,1
3304706,2002,-42.1927594109186,-21.5559952297092,39829,76.58,81,88.29,3,552,1385.92482864245,1
3304706,2003,-42.1927594109186,-21.5559952297092,40357,76.58,81,88.29,3,1,2.47788487746859,0
3304706,2004,-42.1927594109186,-21.5559952297092,41465,76.58,81,88.29,3,1,2.4116724948752,0
3304706,2005,-42.1927594109186,-21.5559952297092,42078,76.58,81,88.29,3,0,0,0
3304706,2006,-42.1927594109186,-21.5559952297092,42686,76.58,81,88.29,3,44,103.078292648644,0
3304706,2007,-42.1927594109186,-21.5559952297092,40145,76.58,81,88.29,3,626,1559.34736579898,1
3304706,2008,-42.1927594109186,-21.5559952297092,42093,76.58,81,88.29,3,342,812.486636732949,1
3304706,2009,-42.1927594109186,-21.5559952297092,42405,76.58,81,88.29,3,1,2.35821247494399,0
3304706,2010,-42.1927594109186,-21.5559952297092,40569,76.58,81,88.29,3,178,438.758658088688,1
3304706,2011,-42.1927594109186,-21.5559952297092,40735,76.58,81,88.29,3,1074,2636.55333251504,1
3304706,2012,-42.1927594109186,-21.5559952297092,40876,76.58,81,88.29,3,737,1803.01399354144,1
3304706,2013,-42.1927594109186,-21.5559952297092,41035,76.58,81,88.29,3,662,1613.25697575241,1
3304706,2014,-42.1927594109186,-21.5559952297092,41108,76.58,81,88.29,3,46,111.900360027245,0
3304706,2015,-42.1927594109186,-21.5559952297092,41178,76.58,81,88.29,3,764,1855.35965806984,1
3304706,2016,-42.1927594109186,-21.5559952297092,41246,76.58,81,88.29,3,598,1449.83756000582,1
3304706,2017,-42.1927594109186,-21.5559952297092,41312,76.58,81,88.29,3,23,55.6738962044927,0
3304706,2018,-42.1927594109186,-21.5559952297092,42359,76.58,81,88.29,3,141,332.869047900092,1
3304706,2019,-42.1927594109186,-21.5559952297092,42479,76.58,81,88.29,3,28,65.9149226676711,0
3304706,2020,-42.1927594109186,-21.5559952297092,42594,76.58,81,88.29,3,40,93.9099403671879,0
3304755,2001,-41.134625475651,-21.4182449728892,41990,50.98,25.17,76.9,5,88,209.57370802572,0
3304755,2002,-41.134625475651,-21.4182449728892,42783,50.98,25.17,76.9,5,270,631.091788794615,1
3304755,2003,-41.134625475651,-21.4182449728892,43544,50.98,25.17,76.9,5,2,4.59305530038582,0
3304755,2004,-41.134625475651,-21.4182449728892,45140,50.98,25.17,76.9,5,0,0,0
3304755,2005,-41.134625475651,-21.4182449728892,46024,50.98,25.17,76.9,5,1,2.17277941943334,0
3304755,2006,-41.134625475651,-21.4182449728892,46900,50.98,25.17,76.9,5,2,4.26439232409382,0
3304755,2007,-41.134625475651,-21.4182449728892,44549,50.98,25.17,76.9,5,7,15.7130350849626,0
3304755,2008,-41.134625475651,-21.4182449728892,47247,50.98,25.17,76.9,5,131,277.266281457024,0
3304755,2009,-41.134625475651,-21.4182449728892,47832,50.98,25.17,76.9,5,8,16.7252048837598,0
